face_extraction_time,voice_extraction_time,total_time
2.942172050476074,5.574467897415161,8.669593095779419
2.0573959350585938,3.4238457679748535,5.618960380554199
0.655095100402832,0.03259849548339844,0.7474484443664551
1.0969984531402588,0.0459744930267334,1.2267098426818848
0.6696536540985107,0.02780890464782715,0.7698025703430176
2.225931167602539,3.035292148590088,5.410746812820435
1.6567034721374512,0.0998528003692627,1.911498785018921
1.7164831161499023,3.6200764179229736,5.464477300643921
1.2032349109649658,nan,1.2421033382415771
1.505152702331543,nan,1.508171796798706
1.0085406303405762,4.351855039596558,5.493601322174072
0.6273903846740723,nan,0.6318278312683105
1.2231998443603516,nan,1.2684755325317383
1.1750593185424805,0.11327195167541504,1.4273097515106201
0.7041101455688477,nan,0.711848258972168
0.7453608512878418,nan,0.7524228096008301
0.6478371620178223,nan,0.657355785369873
